session_id,ip_hash,duration_sec,request_count,unique_pages,error_rate,avg_bytes,page_sequence,page_timestamps,page_set,cluster_id,if_flag,if_score,z_flag,anomaly_flag,anomaly_priority
c3d7db6613bb_0,c3d7db6613bb,466.0,7,6,0.0,21252.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 113.0, 168.0, 333.0, 344.0, 434.0, 466.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3730462378378723,False,False,False
c3d7db6613bb_1,c3d7db6613bb,543.0,7,6,0.0,19065.0,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 155.0, 163.0, 314.0, 409.0, 527.0, 543.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.36811909021924255,False,False,False
eb979ba7c1ad_0,eb979ba7c1ad,611.0,8,6,0.0,25987.375,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 110.0, 228.0, 292.0, 346.0, 463.0, 565.0, 611.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3961061071262385,False,False,False
c6f8bfa0ed59_0,c6f8bfa0ed59,842.0,8,6,0.0,29214.75,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 158.0, 307.0, 396.0, 527.0, 589.0, 753.0, 842.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.4221917605415847,False,False,False
3ad9a9648c84_0,3ad9a9648c84,610.0,6,6,0.0,29568.833333333332,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 148.0, 259.0, 370.0, 528.0, 610.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.39102489159487264,False,False,False
3ad9a9648c84_1,3ad9a9648c84,40.0,2,2,0.0,13445.0,"[""/"", ""/catalog/men""]","[0.0, 40.0]","[""/"", ""/catalog/men""]",3,False,0.45102709981738526,False,False,False
3ad9a9648c84_2,3ad9a9648c84,434.0,6,6,0.0,24657.5,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 79.0, 161.0, 223.0, 267.0, 434.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.390459953960882,False,False,False
6a23ff549c73_0,6a23ff549c73,494.0,8,6,0.0,28175.875,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 108.0, 120.0, 133.0, 231.0, 244.0, 343.0, 494.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.41093846607474294,False,False,False
799db804d50a_0,799db804d50a,865.0,7,6,0.0,18107.0,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 105.0, 245.0, 387.0, 560.0, 718.0, 865.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.4337669847955233,False,False,False
f61cc7d710cc_0,f61cc7d710cc,793.0,8,6,0.0,17315.125,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 177.0, 185.0, 365.0, 434.0, 462.0, 635.0, 793.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.40658061180410027,False,False,False
f61cc7d710cc_1,f61cc7d710cc,71.0,2,2,0.0,11440.5,"[""/"", ""/catalog/men""]","[0.0, 71.0]","[""/"", ""/catalog/men""]",3,False,0.4394499122117549,False,False,False
2e023c15448e_0,2e023c15448e,610.0,8,6,0.125,22163.125,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 148.0, 267.0, 395.0, 405.0, 484.0, 504.0, 610.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.4717693392146876,False,False,False
0fcef50a2319_0,0fcef50a2319,27.0,2,2,0.0,24395.0,"[""/"", ""/catalog/men""]","[0.0, 27.0]","[""/"", ""/catalog/men""]",3,False,0.4635871877615155,False,False,False
59ada8a02f1f_0,59ada8a02f1f,342.0,7,5,0.0,23673.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 125.0, 177.0, 223.0, 231.0, 292.0, 342.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4112745069197631,False,False,False
24d4aaa6a96b_0,24d4aaa6a96b,873.0,7,5,0.0,23394.714285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 162.0, 319.0, 487.0, 660.0, 738.0, 873.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4861726498560361,False,False,False
24d4aaa6a96b_1,24d4aaa6a96b,28.0,2,2,0.0,21369.0,"[""/"", ""/catalog/men""]","[0.0, 28.0]","[""/"", ""/catalog/men""]",3,False,0.4636888638239982,False,False,False
01b12068153c_0,01b12068153c,643.0,8,6,0.0,23147.875,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 76.0, 113.0, 240.0, 345.0, 482.0, 490.0, 643.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.39750108289411645,False,False,False
01b12068153c_1,01b12068153c,396.0,6,6,0.0,16572.666666666668,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 60.0, 111.0, 176.0, 233.0, 396.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.3931448553815694,False,False,False
17e5da2c3e73_0,17e5da2c3e73,254.0,5,5,0.0,27235.8,"[""/"", ""/account"", ""/wishlist"", ""/products/{id}"", ""/cart""]","[0.0, 91.0, 167.0, 236.0, 254.0]","[""/wishlist"", ""/products/{id}"", ""/account"", ""/cart"", ""/""]",0,False,0.45019833843504875,False,False,False
256ae705f354_0,256ae705f354,514.0,8,6,0.0,17993.0,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 28.0, 45.0, 106.0, 277.0, 403.0, 452.0, 514.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.40530192621378125,False,False,False
256ae705f354_1,256ae705f354,19.0,2,2,0.0,22333.5,"[""/"", ""/catalog/men""]","[0.0, 19.0]","[""/"", ""/catalog/men""]",3,False,0.4926519947001908,False,False,False
256ae705f354_2,256ae705f354,531.0,7,6,0.0,21918.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 65.0, 138.0, 222.0, 285.0, 372.0, 531.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3690346287916993,False,False,False
4fd53a287def_0,4fd53a287def,95.0,2,2,0.0,18145.0,"[""/"", ""/catalog/men""]","[0.0, 95.0]","[""/"", ""/catalog/men""]",3,False,0.43105527826799434,False,False,False
f3667dc2f42c_0,f3667dc2f42c,398.0,7,5,0.0,24703.428571428572,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 59.0, 148.0, 205.0, 215.0, 317.0, 398.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.385444562767804,False,False,False
039e2bc3104e_0,039e2bc3104e,665.0,8,6,0.0,20369.0,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 26.0, 171.0, 304.0, 343.0, 449.0, 597.0, 665.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3949331480879015,False,False,False
039e2bc3104e_1,039e2bc3104e,238.0,7,6,0.0,17674.714285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 16.0, 72.0, 105.0, 147.0, 155.0, 238.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.4595308306431597,False,False,False
5e05c2bc76df_0,5e05c2bc76df,119.0,2,2,0.0,27183.5,"[""/"", ""/catalog/men""]","[0.0, 119.0]","[""/"", ""/catalog/men""]",3,False,0.4465306455846101,False,False,False
45ebd10d3ab5_0,45ebd10d3ab5,388.0,5,5,0.0,19683.2,"[""/"", ""/account"", ""/wishlist"", ""/products/{id}"", ""/cart""]","[0.0, 152.0, 231.0, 291.0, 388.0]","[""/wishlist"", ""/products/{id}"", ""/account"", ""/cart"", ""/""]",0,False,0.41934520240443585,False,False,False
7dc4b1fad67d_0,7dc4b1fad67d,454.0,7,5,0.0,25134.714285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 65.0, 106.0, 223.0, 242.0, 275.0, 454.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.37752652062100284,False,False,False
ac13f5150eb7_0,ac13f5150eb7,663.0,7,5,0.14285714285714285,18054.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 128.0, 288.0, 352.0, 416.0, 500.0, 663.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4697383603529566,False,False,False
a31ea3be8d65_0,a31ea3be8d65,580.0,8,6,0.125,33337.0,"[""/"", ""/sale"", ""/products/{id}"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 176.0, 192.0, 294.0, 393.0, 408.0, 456.0, 580.0]","[""/checkout"", ""/products/{id}"", ""/sale"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.4756262742224133,False,False,False
a31ea3be8d65_1,a31ea3be8d65,519.0,6,5,0.0,26900.5,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 147.0, 314.0, 332.0, 403.0, 519.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.396146094254362,False,False,False
8dca5d03778d_0,8dca5d03778d,470.0,7,5,0.14285714285714285,21243.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 73.0, 124.0, 245.0, 375.0, 418.0, 470.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.46683919172905763,False,False,False
8dca5d03778d_1,8dca5d03778d,79.0,2,2,0.0,15141.0,"[""/"", ""/catalog/men""]","[0.0, 79.0]","[""/"", ""/catalog/men""]",3,False,0.4229617018746796,False,False,False
b3ec8956ad8c_0,b3ec8956ad8c,185.0,4,3,0.0,24600.25,"[""/"", ""/blog"", ""/blog"", ""/products/{id}""]","[0.0, 42.0, 76.0, 185.0]","[""/products/{id}"", ""/"", ""/blog""]",3,True,0.5605935857464615,False,True,False
79682b804652_0,79682b804652,42.0,2,2,0.0,29802.5,"[""/"", ""/catalog/men""]","[0.0, 42.0]","[""/"", ""/catalog/men""]",3,False,0.45130952610919095,False,False,False
79682b804652_1,79682b804652,138.0,2,2,0.0,31032.0,"[""/"", ""/catalog/men""]","[0.0, 138.0]","[""/"", ""/catalog/men""]",3,False,0.4549392591511606,False,False,False
2ed09ffee754_0,2ed09ffee754,426.0,7,6,0.0,25730.0,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 41.0, 112.0, 201.0, 222.0, 349.0, 426.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.37594970226263674,False,False,False
2ed09ffee754_1,2ed09ffee754,609.0,6,5,0.0,17777.0,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 103.0, 259.0, 409.0, 458.0, 609.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.4205634128038539,False,False,False
09a5c7b6820b_0,09a5c7b6820b,85.0,2,2,0.0,25389.0,"[""/"", ""/catalog/men""]","[0.0, 85.0]","[""/"", ""/catalog/men""]",3,False,0.4245372498454896,False,False,False
cb048bddb84e_0,cb048bddb84e,419.0,7,5,0.0,28539.571428571428,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 18.0, 183.0, 214.0, 250.0, 322.0, 419.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.38374537358409333,False,False,False
5ace69194ffa_0,5ace69194ffa,471.0,7,5,0.0,19544.285714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 12.0, 146.0, 290.0, 366.0, 411.0, 471.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.3742084206632403,False,False,False
be8ae6e1aa98_0,be8ae6e1aa98,392.0,6,6,0.16666666666666666,25664.333333333332,"[""/"", ""/search"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 64.0, 78.0, 136.0, 242.0, 392.0]","[""/checkout"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/search"", ""/""]",0,False,0.5093910583384172,False,False,False
039c361929e1_0,039c361929e1,495.0,7,6,0.0,30322.14285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/cart"", ""/checkout"", ""/order/confirm""]","[0.0, 50.0, 124.0, 240.0, 267.0, 334.0, 495.0]","[""/checkout"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/order/confirm"", ""/""]",0,False,0.3725422367860441,False,False,False
039c361929e1_1,039c361929e1,459.0,4,3,0.0,24188.25,"[""/"", ""/blog"", ""/blog"", ""/products/{id}""]","[0.0, 130.0, 310.0, 459.0]","[""/products/{id}"", ""/"", ""/blog""]",3,True,0.5657493312258431,False,True,False
039c361929e1_2,039c361929e1,119.0,2,2,0.0,19932.0,"[""/"", ""/catalog/men""]","[0.0, 119.0]","[""/"", ""/catalog/men""]",3,False,0.4465306455846101,False,False,False
711e2fda7a24_0,711e2fda7a24,621.0,7,5,0.0,28037.428571428572,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 100.0, 225.0, 313.0, 436.0, 607.0, 621.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.39194187251804774,False,False,False
711e2fda7a24_1,711e2fda7a24,143.0,2,2,0.0,17118.5,"[""/"", ""/catalog/men""]","[0.0, 143.0]","[""/"", ""/catalog/men""]",3,False,0.45608872781653353,False,False,False
67a3630dbad6_0,67a3630dbad6,405.0,6,5,0.16666666666666666,21386.166666666668,"[""/"", ""/search"", ""/products/{id}"", ""/products/{id}"", ""/wishlist"", ""/catalog/women""]","[0.0, 93.0, 192.0, 258.0, 326.0, 405.0]","[""/wishlist"", ""/catalog/women"", ""/products/{id}"", ""/search"", ""/""]",0,False,0.5149390353966358,False,False,False
67a3630dbad6_1,67a3630dbad6,688.0,7,5,0.0,24473.85714285714,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 27.0, 202.0, 345.0, 513.0, 648.0, 688.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.4159830415352479,False,False,False
67a3630dbad6_2,67a3630dbad6,557.0,7,5,0.0,29360.14285714286,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 133.0, 286.0, 445.0, 460.0, 485.0, 557.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.38021646362757516,False,False,False
be8f06014c2f_0,be8f06014c2f,662.0,7,5,0.14285714285714285,17127.428571428572,"[""/"", ""/catalog/women"", ""/products/{id}"", ""/products/{id}"", ""/catalog/men"", ""/products/{id}"", ""/cart""]","[0.0, 52.0, 227.0, 327.0, 468.0, 576.0, 662.0]","[""/catalog/men"", ""/catalog/women"", ""/products/{id}"", ""/cart"", ""/""]",0,False,0.47005628643932723,False,False,False
